,tiempo_avg_seq,iter_avg_seq,tiempo_avg_con,iter_avg_con,speedup
count,45.0,45.0,45.0,45.0,45.0
mean,21.192377777777775,696.1977777777779,2.6964666666666663,404.10444444444437,4.025951665765823
std,44.32230488360177,1367.802590170368,4.759091694277959,724.5938915744948,3.724869738393441
min,0.001,1.0,0.321,1.0,0.003012048192771
25%,0.338,11.4,0.37,16.4,0.906166219839142
50%,2.75,119.1,0.644,92.7,3.402200488997555
75%,11.684,579.1,1.839,464.3,6.4875069405885615
max,213.165,6385.8,24.568,3468.7,17.127510509107893
